transaction_id,ts_event,card_hash,merchant_id,amount,currency,auth_result,location,reason,created_at
TXN0F18144B11AA,2025-11-04 12:46:06.529255,c836771809dd44df,M44179,4085.98,GBP,DECLINED,"Meaganhaven, New Caledonia",decline_rate,2025-11-04 14:41:06.010656
TXNBC7E254E12A2,2025-11-04 12:46:06.551386,bff08f7bd5bc4763,M76307,5304.74,GBP,DECLINED,"New Mariotown, Bouvet Island (Bouvetoya)",decline_rate,2025-11-04 14:41:06.010656
TXND746FDC8EEEC,2025-11-04 12:46:06.562393,d054588f64c44036,M81200,14071.09,USD,APPROVED,"Natashaport, Dominican Republic",high_amount,2025-11-04 14:41:06.010656
TXN62CD39567341,2025-11-04 12:46:06.573276,cf589f8715b043a1,M44664,2309.46,USD,DECLINED,"East Natalieland, Belize",decline_rate,2025-11-04 14:41:06.010656
TXNE5895264F143,2025-11-04 12:46:06.584315,1bcccb2da5ce4483,M36685,13750.26,GBP,APPROVED,"Cabreraside, Seychelles",high_amount,2025-11-04 14:41:06.010656
TXNE4D5E7CF40E0,2025-11-04 12:46:06.595666,956683c95c904ce7,M46265,882.69,GBP,DECLINED,"East Donna, Yemen",decline_rate,2025-11-04 14:41:06.010656
TXN5CC308A4FB8B,2025-11-04 12:46:06.606820,b2286db88fa24866,M82309,14113.64,USD,APPROVED,"West Allison, New Caledonia",high_amount,2025-11-04 14:41:06.010656
TXNA85270E9996A,2025-11-04 12:46:06.617610,1d91fcb46a52409f,M86350,11050.95,JPY,DECLINED,"Brandtside, Saudi Arabia","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNE05DA28925AE,2025-11-04 12:46:06.628350,43393ed70913426a,M56898,4202.32,EUR,DECLINED,"Lake Larry, Paraguay",decline_rate,2025-11-04 14:41:06.010656
TXN5C767C3A7B31,2025-11-04 12:46:06.639120,e47eb48eace34c6f,M41029,17292.25,EUR,APPROVED,"Samuelhaven, Korea",high_amount,2025-11-04 14:41:06.010656
TXNA9ADCEF2B148,2025-11-04 12:46:06.649764,dc24acb16b9145eb,M63964,16044.9,EUR,APPROVED,"East Jeffreymouth, Angola",high_amount,2025-11-04 14:41:06.010656
TXNC6604DC45C46,2025-11-04 12:46:06.671617,6e6363f9d0914c7a,M62227,6565.91,USD,DECLINED,"East Carloston, Tokelau",decline_rate,2025-11-04 14:41:06.010656
TXN5E351F5943B6,2025-11-04 12:46:06.682389,9d527cdc35b34515,M13617,2307.72,GBP,DECLINED,"Chadbury, Fiji",decline_rate,2025-11-04 14:41:06.010656
TXN337F77967286,2025-11-04 12:46:06.693407,0c96b5cd766144af,M55309,14571.17,GBP,APPROVED,"Lewisberg, Saint Kitts and Nevis",high_amount,2025-11-04 14:41:06.010656
TXN961583046E63,2025-11-04 12:46:06.715154,4da7283d6501449f,M97062,18415.5,GBP,DECLINED,"Leeville, Palestinian Territory","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNF1F9D1877930,2025-11-04 12:46:06.726095,e90b3d741afa4438,M52753,8048.61,GBP,DECLINED,"Gomezchester, Lao People's Democratic Republic",decline_rate,2025-11-04 14:41:06.010656
TXN00DE9AFB52D3,2025-11-04 12:46:06.737230,11026e86ca8f49e1,M98777,14962.94,EUR,APPROVED,"Lake Deniseville, Bahamas",high_amount,2025-11-04 14:41:06.010656
TXN54CA154162B8,2025-11-04 12:46:06.748094,01a52242b53044ea,M66346,15715.39,GBP,DECLINED,"Chandlerville, Egypt","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN88C0B6A99067,2025-11-04 12:46:06.758999,21ee301c07034978,M32241,13177.36,GBP,APPROVED,"East Amanda, Burundi",high_amount,2025-11-04 14:41:06.010656
TXN1EF5976393C6,2025-11-04 12:46:06.803254,c9943d2df60f433c,M69829,2667.65,JPY,DECLINED,"East Richard, Liberia",decline_rate,2025-11-04 14:41:06.010656
TXNB94430399130,2025-11-04 12:46:06.813790,9c130e9cbf6c49a2,M30861,14873.37,JPY,APPROVED,"Port Richard, Bahamas",high_amount,2025-11-04 14:41:06.010656
TXN120D881D1173,2025-11-04 12:46:06.845763,b503f8c0d9ac487f,M38043,1285.51,JPY,DECLINED,"Hortonside, Panama",decline_rate,2025-11-04 14:41:06.010656
TXN3801F2401EF2,2025-11-04 12:46:06.867045,5e3c6a8c9bcb4136,M61116,17069.11,JPY,APPROVED,"New Jillton, San Marino",high_amount,2025-11-04 14:41:06.010656
TXN32CB21ABAC40,2025-11-04 12:46:06.888558,b30b943b71dc4e2b,M61645,11838.26,USD,DECLINED,"North Susan, Belgium","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNB5B1FD673489,2025-11-04 12:46:06.899259,0a3219368d574fc2,M33819,1006.64,JPY,DECLINED,"North Brooke, Peru",decline_rate,2025-11-04 14:41:06.010656
TXN09162B7FB3BE,2025-11-04 12:46:06.941852,6a5b770d57a04c49,M70952,13989.6,GBP,APPROVED,"Sarahborough, Paraguay",high_amount,2025-11-04 14:41:06.010656
TXN655804A9FF89,2025-11-04 12:46:06.952524,158850c044774208,M50768,2162.87,USD,DECLINED,"Johnfurt, Bulgaria",decline_rate,2025-11-04 14:41:06.010656
TXNAF21E6014B9D,2025-11-04 12:46:06.963130,0a185ff786284078,M19961,11842.37,EUR,DECLINED,"Stephenland, Algeria","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNCE8BE57EDD61,2025-11-04 12:46:06.973865,bd851e35791a4987,M84177,15652.92,GBP,DECLINED,"Howellshire, Bolivia","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN36D07266FF5E,2025-11-04 12:46:06.984466,c35631eddcc542e0,M11658,16991.66,JPY,DECLINED,"New Jasonview, Bulgaria","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN5E95E59CEE36,2025-11-04 12:46:06.995237,b1e837f4d23049f4,M30052,8710.31,GBP,DECLINED,"Nicolebury, Heard Island and McDonald Islands",decline_rate,2025-11-04 14:41:06.010656
TXND56607ECD741,2025-11-04 12:46:07.005887,2f1911649d34455c,M52245,17034.41,USD,APPROVED,"Ericside, Romania",high_amount,2025-11-04 14:41:06.010656
TXN9D2B19378F88,2025-11-04 12:46:07.037746,711afde6b2c34eb9,M74038,11103.97,EUR,DECLINED,"West Darrell, Botswana","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNCB5ECE786366,2025-11-04 12:46:07.048390,006b1312e9af42c4,M22196,5885.42,JPY,DECLINED,"West Juan, Cote d'Ivoire",decline_rate,2025-11-04 14:41:06.010656
TXN87055DC6DA32,2025-11-04 12:46:07.059175,871842b7c2dd4564,M65771,19932.63,GBP,DECLINED,"Jamesview, Madagascar","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN7994974F7F5A,2025-11-04 12:46:07.080852,b965c2891d014998,M46241,14491.98,GBP,DECLINED,"Calderonton, Afghanistan","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN6D5DF8AF90CD,2025-11-04 12:46:07.102319,31883a62db134d48,M93606,17369.36,JPY,DECLINED,"Arnoldchester, Monaco","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNC427E0941698,2025-11-04 12:46:07.123779,c5090f19bb78421e,M74454,1482.57,USD,DECLINED,"Port Mikeside, Cameroon",decline_rate,2025-11-04 14:41:06.010656
TXN5053BEEFBA7D,2025-11-04 12:46:07.134623,37e2a8e66dcb4af2,M25525,11161.9,JPY,DECLINED,"Andersonport, Haiti","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNAC54BE2B8A9A,2025-11-04 12:46:07.145236,7ae8a85d8f934a79,M48974,17203.47,JPY,APPROVED,"West Jasonbury, Papua New Guinea",high_amount,2025-11-04 14:41:06.010656
TXNBDD2DB2749C0,2025-11-04 12:46:07.155922,d53e8c12c15d4b30,M37235,12510.68,GBP,APPROVED,"West Kimberlychester, Niger",high_amount,2025-11-04 14:41:06.010656
TXN8683D52198A9,2025-11-04 12:46:07.199648,9311efee05d14eb2,M87993,14979.41,GBP,DECLINED,"West Erik, Reunion","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN7A11425C0784,2025-11-04 12:46:07.210494,10689f5b205d41de,M45683,10009.94,JPY,APPROVED,"South Monicafort, Cyprus",high_amount,2025-11-04 14:41:06.010656
TXNB80F4AF83B69,2025-11-04 12:46:07.232427,9e5613cc47fd4bff,M85529,805.59,EUR,DECLINED,"Loribury, Czech Republic",decline_rate,2025-11-04 14:41:06.010656
TXN30F38D4F951C,2025-11-04 12:46:07.243436,3e0756dfe44e4823,M86720,8718.26,JPY,DECLINED,"Lake Jamesmouth, Fiji",decline_rate,2025-11-04 14:41:06.010656
TXNB9D679A2489E,2025-11-04 12:46:07.254789,a9c7abd3b3d94c1b,M97835,2092.89,EUR,DECLINED,"Port Joshuahaven, Iran",decline_rate,2025-11-04 14:41:06.010656
TXNA44303F86946,2025-11-04 12:46:07.265798,17ed5a4b44f14567,M82102,734.91,USD,DECLINED,"Sheilaville, Turkey",decline_rate,2025-11-04 14:41:06.010656
TXN1D3E7DAE420E,2025-11-04 12:46:07.276654,ffb17e8fbcc446f5,M77449,16498.72,USD,APPROVED,"Gregoryview, Argentina",high_amount,2025-11-04 14:41:06.010656
TXN5777902C41EA,2025-11-04 12:46:07.287728,a257212922ad4fc6,M91609,15129.11,JPY,DECLINED,"New Ryanmouth, Jordan","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNAE13CF24F266,2025-11-04 12:46:07.298945,8ac47d9216b24a13,M67424,17617.05,JPY,APPROVED,"South Rachelborough, Equatorial Guinea",high_amount,2025-11-04 14:41:06.010656
TXN21A91A1A9CC9,2025-11-04 12:46:07.321826,ef3d7720a87f43ff,M94896,16643.03,JPY,DECLINED,"West Ryan, Yemen","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNC23327254BF9,2025-11-04 12:46:07.344245,df42f00199254233,M64387,6798.16,GBP,DECLINED,"Williamchester, Greece",decline_rate,2025-11-04 14:41:06.010656
TXN66D639DE1AF8,2025-11-04 12:46:07.355369,d2ce86893efe4e3b,M29476,8931.5,JPY,DECLINED,"Terryside, Brunei Darussalam",decline_rate,2025-11-04 14:41:06.010656
TXN1C57BEEE9E79,2025-11-04 12:46:07.366721,8b62e561690747de,M34727,19615.51,EUR,DECLINED,"South Elizabeth, Hong Kong","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNF84133516CFB,2025-11-04 12:46:07.400693,150a9c89effd46a8,M63736,17418.79,EUR,DECLINED,"Stevenmouth, Peru","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNEE57C774A528,2025-11-04 12:46:07.411691,3a33102861604b84,M95175,1607.23,GBP,DECLINED,"New Thomas, United Arab Emirates",decline_rate,2025-11-04 14:41:06.010656
TXN211DB01D099A,2025-11-04 12:46:07.433606,5c9671cd004e4dc2,M93066,14078.11,USD,DECLINED,"Clarencebury, Peru","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN16A607A196F3,2025-11-04 12:46:07.444617,81bdabce141348ae,M52516,15923.07,GBP,DECLINED,"Jeffreyborough, Cameroon","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNE30FB50EAD31,2025-11-04 12:46:07.455466,68fe3518c2554b1f,M84177,13636.33,EUR,APPROVED,"North Johnfort, New Zealand",high_amount,2025-11-04 14:41:06.010656
TXNC9E8D5C6D009,2025-11-04 12:46:07.466204,ecee792fd194481f,M91226,13663.01,JPY,DECLINED,"South Robertshire, Congo","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN2EA6B7C37D28,2025-11-04 12:46:07.477103,fe8bf6894a2a4639,M43466,13337.15,JPY,APPROVED,"Snyderbury, Cameroon",high_amount,2025-11-04 14:41:06.010656
TXN4FD1B5993A52,2025-11-04 12:46:07.487945,c5544efc0e644fbb,M87014,5983.79,JPY,DECLINED,"Port Michelleville, Slovakia (Slovak Republic)",decline_rate,2025-11-04 14:41:06.010656
TXNB8A5024EAB17,2025-11-04 12:46:07.498768,ab531dd2e5904ed6,M73335,2133.96,JPY,DECLINED,"Robinsonhaven, Kyrgyz Republic",decline_rate,2025-11-04 14:41:06.010656
TXND08EF60AF0E7,2025-11-04 12:46:07.509500,68e18bea303249ff,M12875,19558.91,JPY,APPROVED,"New Johnville, Korea",high_amount,2025-11-04 14:41:06.010656
TXNB18814BF89E2,2025-11-04 12:46:07.520463,59250d1d27274191,M47512,15515.04,EUR,APPROVED,"Port Steven, Marshall Islands",high_amount,2025-11-04 14:41:06.010656
TXNEA5C19032A38,2025-11-04 12:46:07.542302,bd19e09426a14579,M21813,18192.65,GBP,APPROVED,"Rivasside, Kiribati",high_amount,2025-11-04 14:41:06.010656
TXN0450B8EB2D4F,2025-11-04 12:46:07.553623,213516d399c74167,M79579,10036.39,GBP,DECLINED,"Lake Michelle, Korea","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN8E2762CDE069,2025-11-04 12:46:07.564540,ef5b73462e5a47a4,M54396,16084.85,JPY,APPROVED,"Karenview, Seychelles",high_amount,2025-11-04 14:41:06.010656
TXN3BE1B712D287,2025-11-04 12:46:07.597472,0fedfa698e10445f,M89964,4428.12,USD,DECLINED,"Patricialand, Burundi",decline_rate,2025-11-04 14:41:06.010656
TXN65939BE4294D,2025-11-04 12:46:07.629627,20ee5dd2a06a4c27,M46666,655.29,GBP,DECLINED,"Perryborough, Syrian Arab Republic",decline_rate,2025-11-04 14:41:06.010656
TXN75390CB3C019,2025-11-04 12:46:07.640450,903d943afbde4dfd,M23022,19618.57,GBP,DECLINED,"Priceshire, Yemen","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN149BBFB64E2A,2025-11-04 12:46:07.651294,5d6990bc546d4afd,M69600,1834.38,EUR,DECLINED,"Port Nicoleshire, Hong Kong",decline_rate,2025-11-04 14:41:06.010656
TXN38F54CA9FBA1,2025-11-04 12:46:07.662185,b51e697f57de47a3,M84000,4104.91,EUR,DECLINED,"Smithstad, French Southern Territories",decline_rate,2025-11-04 14:41:06.010656
TXN16E363B4A437,2025-11-04 12:46:07.672899,9fb19e01ad2a4d06,M46342,17168.26,EUR,DECLINED,"Castanedachester, Mauritania","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN82739B9E81C7,2025-11-04 12:46:07.683590,86021d16f1a34c9d,M96646,17329.09,EUR,APPROVED,"South Jeffrey, Jordan",high_amount,2025-11-04 14:41:06.010656
TXNACD1CA28854D,2025-11-04 12:46:07.705724,108de3dab44c4194,M68756,15560.56,USD,APPROVED,"Ramseymouth, Uruguay",high_amount,2025-11-04 14:41:06.010656
TXN3943D5CF954F,2025-11-04 12:46:07.716729,4fade3ba6cfd4bdf,M96363,10429.5,JPY,DECLINED,"New Amanda, United States of America","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN47A2DDB7C1EA,2025-11-04 12:46:07.727742,848f80c991434bb5,M99928,2160.13,JPY,DECLINED,"Vargastown, Belize",decline_rate,2025-11-04 14:41:06.010656
TXN8205AAB04CB8,2025-11-04 12:46:07.738922,dd073864961b4d86,M26540,5501.04,GBP,DECLINED,"Taylormouth, Cocos (Keeling) Islands",decline_rate,2025-11-04 14:41:06.010656
TXNE8AFBD256BE1,2025-11-04 12:46:07.750112,b1315a423c2a4979,M22999,15862.13,USD,DECLINED,"West Nicholasborough, Korea","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNE485DF3D1A8C,2025-11-04 12:46:07.761432,50544c3072ae46a9,M54424,16548.56,JPY,APPROVED,"Matthewfurt, Fiji",high_amount,2025-11-04 14:41:06.010656
TXNE61E5FBBC96D,2025-11-04 12:46:07.806395,1ca332d73a464a3b,M56090,2072.91,EUR,DECLINED,"East Jamestown, Nigeria",decline_rate,2025-11-04 14:41:06.010656
TXN0C61FCA5088B,2025-11-04 12:46:07.817645,de3202186e434ece,M55890,16907.62,GBP,APPROVED,"East David, Paraguay",high_amount,2025-11-04 14:41:06.010656
TXN175858A7EC6C,2025-11-04 12:46:07.828690,a71844bcb0d64e8f,M89822,18581.76,GBP,DECLINED,"New Staciemouth, Reunion","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNA16FC3EB1ACF,2025-11-04 12:46:07.839839,5a4e26d6aa3a475d,M54541,7021.12,EUR,DECLINED,"Katieburgh, New Caledonia",decline_rate,2025-11-04 14:41:06.010656
TXNA87ADA8E00FA,2025-11-04 12:46:07.851028,13f1146b770c4672,M22026,14922.49,EUR,DECLINED,"Port Loriport, Botswana","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNDBF6029222F8,2025-11-04 12:46:07.862327,fd9857e98c664c36,M50846,14432.2,USD,APPROVED,"West Barbarafurt, Indonesia",high_amount,2025-11-04 14:41:06.010656
TXND7C98555996F,2025-11-04 12:46:07.873540,9f26fbf339b74d75,M98338,1632.55,JPY,DECLINED,"North Brittany, Switzerland",decline_rate,2025-11-04 14:41:06.010656
TXN0CBD351D74A7,2025-11-04 12:46:07.884566,6c48232670f9420e,M77154,2277.24,JPY,DECLINED,"North Heidi, Gabon",decline_rate,2025-11-04 14:41:06.010656
TXN9766B7D1411F,2025-11-04 12:46:07.895697,c85d4e95a45e4ccd,M15952,4411.15,USD,DECLINED,"Port Tonyaton, Guatemala",decline_rate,2025-11-04 14:41:06.010656
TXN4927E08A5E22,2025-11-04 12:46:07.906638,91407b718a4e49c1,M43491,5789.65,USD,DECLINED,"Stanleyland, Madagascar",decline_rate,2025-11-04 14:41:06.010656
TXN43A5B6C61590,2025-11-04 12:46:07.917748,956c73c0353a4ee3,M79806,14073.72,GBP,APPROVED,"Alexanderchester, Swaziland",high_amount,2025-11-04 14:41:06.010656
TXN5DDE3BDF1E2C,2025-11-04 12:46:07.928974,6ccd3722d72146f8,M20205,17242.34,JPY,DECLINED,"Garciastad, North Macedonia","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN9DEE7DC34B1D,2025-11-04 12:46:07.940151,b15e510c50854a1f,M12733,19324.03,EUR,DECLINED,"Zimmermanchester, Christmas Island","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN307EF4B2448F,2025-11-04 12:46:07.951048,b6f7cacb6fee4fc0,M41891,8714.09,JPY,DECLINED,"Christinaside, Singapore",decline_rate,2025-11-04 14:41:06.010656
TXN69A7E7EAAD74,2025-11-04 12:46:07.962095,2d5bb8f8484847c7,M53655,15582.58,USD,APPROVED,"Marshallshire, Ethiopia",high_amount,2025-11-04 14:41:06.010656
TXNB8CD88AB7F08,2025-11-04 12:46:07.973132,c00c0e73e8dc4e40,M56019,14547.85,EUR,APPROVED,"Melissaland, Fiji",high_amount,2025-11-04 14:41:06.010656
TXN48B307166026,2025-11-04 12:46:07.983905,301cb5e5b73645af,M88957,3058.24,USD,DECLINED,"Sanchezmouth, Montenegro",decline_rate,2025-11-04 14:41:06.010656
TXN916E24381997,2025-11-04 12:46:07.994822,178f8adc69574cd9,M99277,18483.16,GBP,DECLINED,"Rogersfort, Thailand","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN78D917A2D0BE,2025-11-04 12:46:08.026986,06e091f81a8f45cf,M70648,11607.01,USD,APPROVED,"New Stacyland, Dominican Republic",high_amount,2025-11-04 14:41:06.010656
TXNAF548356A4A4,2025-11-04 12:46:08.037673,3e987011a0cd426a,M75715,3018.07,USD,DECLINED,"Freemanbury, Portugal",decline_rate,2025-11-04 14:41:06.010656
TXN9A7524BCE12C,2025-11-04 12:46:08.048272,a972aceb26214801,M76132,12922.9,USD,DECLINED,"Brewerfort, Kiribati","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN425D4516DB72,2025-11-04 12:46:08.059062,f27d0e3434124e6f,M57696,7457.67,GBP,DECLINED,"North Kellyfurt, Puerto Rico",decline_rate,2025-11-04 14:41:06.010656
TXN179B67159220,2025-11-04 12:46:08.069718,3caf1ffa56db454a,M92691,12946.46,USD,DECLINED,"West Elizabeth, Heard Island and McDonald Islands","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNB0848A764D41,2025-11-04 12:46:08.080344,9c5b62154c214d02,M53694,1630.96,EUR,DECLINED,"Transtad, Jamaica",decline_rate,2025-11-04 14:41:06.010656
TXNF971E2E64625,2025-11-04 12:46:08.091286,26de79abdb4848b7,M50577,11178.88,GBP,APPROVED,"Michaelmouth, Faroe Islands",high_amount,2025-11-04 14:41:06.010656
TXN35FC34F86F3A,2025-11-04 12:46:08.113594,4ca813da58e14f7d,M35166,4531.63,EUR,DECLINED,"West David, Mauritania",decline_rate,2025-11-04 14:41:06.010656
TXN3383ACEAF8EF,2025-11-04 12:46:08.124575,50e32db53d884bc2,M76543,15417.72,USD,APPROVED,"East Javier, Liberia",high_amount,2025-11-04 14:41:06.010656
TXN00D88783F7B2,2025-11-04 12:46:08.135474,ae3cac88352d4e9c,M31266,3617.74,EUR,DECLINED,"Jennyhaven, Nepal",decline_rate,2025-11-04 14:41:06.010656
TXN257717DDC215,2025-11-04 12:46:08.146754,df282f6340c347ab,M68222,12212.3,JPY,APPROVED,"Tinaborough, French Polynesia",high_amount,2025-11-04 14:41:06.010656
TXN5F8A5AA87575,2025-11-04 12:46:08.157768,db2ebc557dfb4e7d,M35430,7357.45,JPY,DECLINED,"West Harry, American Samoa",decline_rate,2025-11-04 14:41:06.010656
TXN5BE37A537530,2025-11-04 12:46:08.168668,e5d8c7cfcb0b4207,M31241,16338.01,EUR,DECLINED,"West Brandon, Austria","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNDFF5EC2FB8B1,2025-11-04 12:46:08.179878,922c226040e7426a,M77621,17023.47,GBP,DECLINED,"Heidiberg, Northern Mariana Islands","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN280A2FCFE7C2,2025-11-04 12:46:08.212788,6cebd3e6aeaf4849,M95191,6706.47,EUR,DECLINED,"North Johnny, Tokelau",decline_rate,2025-11-04 14:41:06.010656
TXN62367D3D35DC,2025-11-04 12:46:08.223783,60da189031ce4350,M28191,15177.06,JPY,APPROVED,"Wilsonland, Iran",high_amount,2025-11-04 14:41:06.010656
TXN8CAD4461C3DD,2025-11-04 12:46:08.234746,795c22b4e2ea47c1,M43544,4313.88,EUR,DECLINED,"Joneston, Canada",decline_rate,2025-11-04 14:41:06.010656
TXNC7E4DBF86DDF,2025-11-04 12:46:08.245863,c31546da53dd4921,M16258,4769.55,JPY,DECLINED,"Port Anna, Gabon",decline_rate,2025-11-04 14:41:06.010656
TXN228F748FFCF8,2025-11-04 12:46:08.267363,514ff70e5d85400a,M41531,11413.7,EUR,DECLINED,"Port Alexandra, Korea","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN99ADD373AEE1,2025-11-04 12:46:08.278080,9cf98e2d8b9641fa,M61177,17466.76,USD,DECLINED,"Evansshire, Japan","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN2F2FE1C3EAE8,2025-11-04 12:46:08.331230,63f4d68fecd24914,M95948,6639.16,USD,DECLINED,"Carterbury, France",decline_rate,2025-11-04 14:41:06.010656
TXN7E8604923673,2025-11-04 12:46:08.341819,308fd448055347bd,M54438,19474.5,JPY,DECLINED,"Jacquelinemouth, Barbados","high_amount,decline_rate",2025-11-04 14:41:06.010656
